Technique,QuestionID,AnswerID,ParagraphIndex,SentenceIndex,SentenceText,Original Sentence Text
6,49638703,49667023,,,This validation error message should be human-readable and it should be okay for the client to display it to the user.,This validation error message should be human-readable and it should be okay for the client to display it to the user.
6,49742914,49742993,,,If it returned a falsy value (i.e. 0) then the value of the other operand of || will be returned (which is sorting by timestamp),If it returned a falsy value (<strong>i.e.</strong> <code>0</code>) then the value of the other operand of <code>||</code> will be returned (which is sorting by <code>timestamp</code>)
6,49868076,49904853,,,"Misuse considerations aside, in order to JSON-ify a QVariant that stores a QObject subclass by value, you can use the QMetaType::create method and pass it the user type id and yourQVariant.constData().","Misuse considerations aside, in order to JSON-ify a <code>QVariant</code> that stores a <code>QObject</code> subclass by value, you can use the <code>QMetaType::create</code> method and pass it the user type id and <code>yourQVariant.constData()."
6,50014635,50014701,,,You can then access your user.json in the folder /api/user.json at localhost:8081/api/user.json,You can then access your <code>user.json</code> in the folder <code>/api/user.json</code> at <code>localhost:8081/api/user.json</code>
6,50088757,50088868,,,"You are trying to cast to [String: Any], but you have an array of [String: Any] because your response enclosed in [] brackets.","You are trying to cast to <code>[String: Any]</code>, but you have an array of <code>[String: Any]</code> because your response enclosed in <code>[]</code> brackets."
6,50254393,50261031,,,Normally one of the layers requires the use of services and you can have your controllers and your services (the place where you get the raw data from the server and you make the request.,Normally one of the layers requires the use of services and you can have your controllers and your services (the place where you get the raw data from the server and you make the request.
6,50460523,50460873,,,"After item = update, variable item no longer references an item from data, it references a different variable: update.","After <code>item = update</code>, variable <code>item</code> no longer references an item from <code>data</code>, it references a different variable: <code>update</code>."
6,50485037,50485134,,,Overwrites the existing file if the file exists.,Overwrites the existing file if the file exists.
6,50522602,50523464,,,"Otherwise, it returns the value stored in _isPlaying","Otherwise, it returns the value stored in <code>_isPlaying</code>"
6,50605220,50605288,,,"If your input field values are numbers, then you can use input type 'number' .","If your input field values are numbers, then you can use input type 'number'."
9,50703187,50703313,,,"So, yes, in my opinion, require calls should be at the top, unless you know what you're doing, or you're loading a dynamic dependency.","So, yes, in my opinion, <code>require</code> calls should be at the top, unless you know what you're doing, or you're loading a dynamic dependency."
6,50957609,50958104,,,"You're not looping over an Array, you are looping over the properties of an Object with a for...in loop.","You're not looping over an Array, you are looping over the properties of an Object with a <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Statements/for...in"" rel=""nofollow noreferrer""><code>for...in</code></a> loop."
