SentenceID,ThreadID,AnswerID,Technique,SentenceText,ThreadScore,NumOfAnswersInThread,AnswerScore,SR1Median,SR2Median,SR3Median
173,49996456,answer-51494250,1,But if you need to use older versions:,85,5,10,2,3,3
175,49996456,answer-51494250,3,Then your <code>typings.d.ts</code> should be in the <code>src</code> directory as described in <code>include</code> property,85,5,10,3,3,3
177,50227069,answer-50227170,4,"Don't mix <code>var</code> and <code>let</code>/<code>const</code> - if you're using ES6, which you should be, always use <code>const</code>, except when you need to reassign, in which case use <code>let</code>.",4,2,1,3,4,4
178,50522602,answer-50523464,1,Next we add custom getter and setter for public property which checks each it is invoked if <code>_isPlaying</code> is null.,4,3,0,3,4,4
179,50522602,answer-50523464,2,And if so it returns your default value.,4,3,0,3,3,4
180,50522602,answer-50523464,3,Otherwise you should consider using another json library like Jackson which as I know supports Kotlin well.,4,3,0,3,4,4
181,51674222,answer-51674892,1,"and perhaps a third, but a casual scan of the Construct project pages doesn't tell me if it is available: have Construct output JSON or at least a JSON-compatible dictionary, perhaps by using adapters.",7,3,12,2.0,3.0,3.0
183,51674222,answer-51675877,3,"In this case skipping just by type should suffice, but in case the <code>_io</code> key holds some other undesirable data this guarantees it won't be in the final result.",7,3,2,3.0,4.0,4.0
184,51674222,answer-51675877,2,"Of course, if your structure contains some other exotic data or data that is represented in JSON differently based on its type, this approach might mess it up as it turns all mappings into <code>dict</code> and all sequences into <code>list</code>.",7,3,2,2.5,3.5,3.5
189,50703187,answer-50703313,1,"Another thing to notice, is that <code>require</code> is synchronous, so if your JSON is specially large, the first time you instanciate <code>MyClass</code> the event loop will be blocked.",2,2,5,3,4,4
191,50703187,answer-50703427,2,"I'd only put <code>require</code> inside the constructor if it was a dynamic dependency, like <code>const wordlist = require(</code>./config/lang/${lang}.json<code>)</code>.",2,2,1,3,5,5
192,50014635,answer-50014693,2,"Do add proper error handling like if file does not exists, then send back <code>404</code> using something like below:",2,3,0,2,3,3
193,50014635,answer-50014701,1,Please use this method carefully and only if you know what you are doing.,2,3,4,2,4,4
194,50014635,answer-50014701,3,If you do not wanted to create a designated directory (in this case 'public' folder) and put all your top level folders there in order to access it.,2,3,4,3,4,4
195,50957609,answer-50957707,2,Loop through the object and check to see if car1 exists on the next level down.,2,7,0,3,4,4
196,50957609,answer-50958104,4," The good news is this will work if given an Array of objects as well instead of a nested Object, but only because we don't care about the keys that hold the objects and only that an object actually has a 'car1' property",2,7,0,3,4,4
197,49742914,answer-49742993,2,"Check the result of <code>localeCompare</code> on the property <code>user</code>, if it is either <code>-1</code> or <code>1</code> then return that result.",1,4,2,3.0,4.5,4.0
198,49742914,answer-49743008,1,This works because <code>||</code> will only consider the second component if the <code>localeCompare</code> is zero.,1,4,2,3.0,4.0,3.5
199,49742914,answer-49743008,3,"I also want to point out that <code>||</code> is not only making the checking of the statement concise, it also allows you to chain further checks in your sorting requirement.",1,4,2,2.0,4.0,3.0
200,49742914,answer-49743033,1,"This alternative compares the usernames first <strong>(faster than a precipitated localeCompare execution)</strong>, if they are equal then a common comparison between integers is executed.",1,4,2,3.0,4.0,4.0
201,50088757,answer-50088868,3,You should cast your data to the <code>[[String: Any]]</code> type because you have array in response.,1,2,4,3,4,4
202,50088757,answer-50088868,1,Or if you want to get just only one <code>[String: Any]</code> object from response you can write:,1,2,4,3,4,4
203,50088757,answer-50088868,2,Or if your object can be an array or not an array (but it sounds a little bit strange) you could try to cast to several possible types.,1,2,4,2,3,3
204,51580523,answer-51580586,1,"You can use session storage if you want the data to be retrieved once <strong>PER SESSION</strong> or local storage if you want to have better control of the data's ""expiration"".",1,4,1,3.0,5.0,5.0
205,51580523,answer-51580653,2,"You could put the data in <a href=""https://developer.mozilla.org/en-US/docs/Web/API/Window/localStorage"" rel=""nofollow noreferrer""><code>localStorage</code></a> and always check if there is some data there before doing the request.",1,4,2,3.0,5.0,4.5
206,51580523,answer-51583718,1,If you're correctly sending change/delete requests - they will be memorized and refresh will read updated data (if not cached).,1,4,0,2.0,3.0,2.5
