"","SentenceID","Technique","SentenceText","Response.median"
"1","173",1,"But if you need to use older versions:",2
"2","175",3,"Then your <code>typings.d.ts</code> should be in the <code>src</code> directory as described in <code>include</code> property",3
"3","177",1,"Don't mix <code>var</code> and <code>let</code>/<code>const</code> - if you're using ES6, which you should be, always use <code>const</code>, except when you need to reassign, in which case use <code>let</code>.",3
"4","177",3,"Don't mix <code>var</code> and <code>let</code>/<code>const</code> - if you're using ES6, which you should be, always use <code>const</code>, except when you need to reassign, in which case use <code>let</code>.",3
"5","178",1,"Next we add custom getter and setter for public property which checks each it is invoked if <code>_isPlaying</code> is null.",3
"6","179",1,"And if so it returns your default value.",3
"7","179",2,"And if so it returns your default value.",3
"8","180",3,"Otherwise you should consider using another json library like Jackson which as I know supports Kotlin well.",3
"9","181",1,"and perhaps a third, but a casual scan of the Construct project pages doesn't tell me if it is available: have Construct output JSON or at least a JSON-compatible dictionary, perhaps by using adapters.",2
"10","183",3,"In this case skipping just by type should suffice, but in case the <code>_io</code> key holds some other undesirable data this guarantees it won't be in the final result.",3
"11","184",1,"Of course, if your structure contains some other exotic data or data that is represented in JSON differently based on its type, this approach might mess it up as it turns all mappings into <code>dict</code> and all sequences into <code>list</code>.",2.5
"12","184",2,"Of course, if your structure contains some other exotic data or data that is represented in JSON differently based on its type, this approach might mess it up as it turns all mappings into <code>dict</code> and all sequences into <code>list</code>.",2.5
"13","189",1,"Another thing to notice, is that <code>require</code> is synchronous, so if your JSON is specially large, the first time you instanciate <code>MyClass</code> the event loop will be blocked.",3
"14","191",1,"I'd only put <code>require</code> inside the constructor if it was a dynamic dependency, like <code>const wordlist = require(</code>./config/lang/${lang}.json<code>)</code>.",3
"15","191",2,"I'd only put <code>require</code> inside the constructor if it was a dynamic dependency, like <code>const wordlist = require(</code>./config/lang/${lang}.json<code>)</code>.",3
"16","192",1,"Do add proper error handling like if file does not exists, then send back <code>404</code> using something like below:",2
"17","192",2,"Do add proper error handling like if file does not exists, then send back <code>404</code> using something like below:",2
"18","193",1,"Please use this method carefully and only if you know what you are doing.",2
"19","194",3,"If you do not wanted to create a designated directory (in this case 'public' folder) and put all your top level folders there in order to access it.",3
"20","195",1,"Loop through the object and check to see if car1 exists on the next level down.",3
"21","195",2,"Loop through the object and check to see if car1 exists on the next level down.",3
"22","196",1," The good news is this will work if given an Array of objects as well instead of a nested Object, but only because we don't care about the keys that hold the objects and only that an object actually has a 'car1' property",3
"23","196",3," The good news is this will work if given an Array of objects as well instead of a nested Object, but only because we don't care about the keys that hold the objects and only that an object actually has a 'car1' property",3
"24","197",1,"Check the result of <code>localeCompare</code> on the property <code>user</code>, if it is either <code>-1</code> or <code>1</code> then return that result.",3
"25","197",2,"Check the result of <code>localeCompare</code> on the property <code>user</code>, if it is either <code>-1</code> or <code>1</code> then return that result.",3
"26","198",1,"This works because <code>||</code> will only consider the second component if the <code>localeCompare</code> is zero.",3
"27","199",3,"I also want to point out that <code>||</code> is not only making the checking of the statement concise, it also allows you to chain further checks in your sorting requirement.",2
"28","200",1,"This alternative compares the usernames first <strong>(faster than a precipitated localeCompare execution)</strong>, if they are equal then a common comparison between integers is executed.",3
"29","201",3,"You should cast your data to the <code>[[String: Any]]</code> type because you have array in response.",3
"30","202",1,"Or if you want to get just only one <code>[String: Any]</code> object from response you can write:",3
"31","203",1,"Or if your object can be an array or not an array (but it sounds a little bit strange) you could try to cast to several possible types.",2
"32","203",2,"Or if your object can be an array or not an array (but it sounds a little bit strange) you could try to cast to several possible types.",2
"33","204",1,"You can use session storage if you want the data to be retrieved once <strong>PER SESSION</strong> or local storage if you want to have better control of the data's ""expiration"".",3
