"","SentenceID","ThreadID","AnswerID","Technique","Response.median"
"1","173",49996456,"answer-51494250",1,2
"2","175",49996456,"answer-51494250",3,3
"3","177",50227069,"answer-50227170",4,3
"4","178",50522602,"answer-50523464",1,3
"5","179",50522602,"answer-50523464",2,3
"6","180",50522602,"answer-50523464",3,3
"7","181",51674222,"answer-51674892",1,2
"8","183",51674222,"answer-51675877",3,3
"9","184",51674222,"answer-51675877",2,2.5
"10","189",50703187,"answer-50703313",1,3
"11","191",50703187,"answer-50703427",2,3
"12","192",50014635,"answer-50014693",2,2
"13","193",50014635,"answer-50014701",1,2
"14","194",50014635,"answer-50014701",3,3
"15","195",50957609,"answer-50957707",2,3
"16","196",50957609,"answer-50958104",4,3
"17","197",49742914,"answer-49742993",2,3
"18","198",49742914,"answer-49743008",1,3
"19","199",49742914,"answer-49743008",3,2
"20","200",49742914,"answer-49743033",1,3
"21","201",50088757,"answer-50088868",3,3
"22","202",50088757,"answer-50088868",1,3
"23","203",50088757,"answer-50088868",2,2
"24","204",51580523,"answer-51580586",1,3
"25","205",51580523,"answer-51580653",2,3
"26","206",51580523,"answer-51583718",1,2
"27","207",51580523,"answer-51583718",3,2
"28","208",51682923,"answer-51682974",1,2
"29","209",51682923,"answer-51683218",5,3
"30","210",51682923,"answer-51683218",1,3
"31","211",50460523,"answer-50460596",2,3
"32","212",50460523,"answer-50460873",1,2
"33","213",50460523,"answer-50460873",3,2
"34","214",50460523,"answer-50460873",1,2
"35","215",50619917,"answer-50620118",2,3
"36","217",50605220,"answer-50605397",1,3
"37","218",50605220,"answer-50606096",2,2
"38","219",50605220,"answer-50606096",3,2
"39","220",49638703,"answer-49666744",2,2
"40","221",49638703,"answer-49666744",1,2
"41","222",49638703,"answer-49667023",3,3
"42","223",51628014,"answer-51628170",1,3
"43","224",51628014,"answer-51628170",2,2
"44","225",51628014,"answer-51628324",1,3
"45","227",50254393,"answer-50261031",1,2.5
"46","228",50254393,"answer-50261031",2,2
"47","229",50254393,"answer-50290238",3,3
"48","230",50254393,"answer-50290238",3,3
"49","231",49868076,"answer-49875401",4,2.5
"50","232",49868076,"answer-49875401",2,3
"51","233",49868076,"answer-49904853",1,3
"52","234",50485037,"answer-50485134",8,3
"53","235",50485037,"answer-50485160",1,3
"54","236",50485037,"answer-50485160",1,3
"55","237",50485037,"answer-50485160",3,3
"56","238",49638703,"answer-49667023",6,3
"57","239",49742914,"answer-49742993",6,3
"58","240",49868076,"answer-49904853",6,3
"59","241",49996456,"answer-51494250",8,3
"60","242",50014635,"answer-50014701",6,2
"61","243",50088757,"answer-50088868",6,3
"62","245",50227069,"answer-50227170",8,3
"63","246",50254393,"answer-50261031",6,2.5
"64","247",50460523,"answer-50460873",6,2
"65","249",50522602,"answer-50523464",6,3
"66","250",50605220,"answer-50605288",6,3
"67","251",50619917,"answer-50620194",10,3
"68","252",50703187,"answer-50703313",9,3
"69","253",50957609,"answer-50958104",6,2
"70","254",51580523,"answer-51580716",6,3
"71","255",51628014,"answer-51628324",9,3
"72","257",51682923,"answer-51683003",6,3
"73","258",51674222,"answer-51675877",7,3
"74","262",51783807,"answer-51784010",4,3
"75","263",51783807,"answer-51784010",1,3
"76","264",51783807,"answer-51784010",8,3
