"","SentenceID","ThreadID","AnswerID","Technique","Response.median"
"1","173",49996456,"answer-51494250",1,3
"2","175",49996456,"answer-51494250",3,3
"3","177",50227069,"answer-50227170",4,4
"4","178",50522602,"answer-50523464",1,4
"5","179",50522602,"answer-50523464",2,3
"6","180",50522602,"answer-50523464",3,4
"7","181",51674222,"answer-51674892",1,3
"8","183",51674222,"answer-51675877",3,4
"9","184",51674222,"answer-51675877",2,3.5
"10","189",50703187,"answer-50703313",1,4
"11","191",50703187,"answer-50703427",2,5
"12","192",50014635,"answer-50014693",2,3
"13","193",50014635,"answer-50014701",1,4
"14","194",50014635,"answer-50014701",3,4
"15","195",50957609,"answer-50957707",2,4
"16","196",50957609,"answer-50958104",4,4
"17","197",49742914,"answer-49742993",2,4.5
"18","198",49742914,"answer-49743008",1,4
"19","199",49742914,"answer-49743008",3,4
"20","200",49742914,"answer-49743033",1,4
"21","201",50088757,"answer-50088868",3,4
"22","202",50088757,"answer-50088868",1,4
"23","203",50088757,"answer-50088868",2,3
"24","204",51580523,"answer-51580586",1,5
"25","205",51580523,"answer-51580653",2,5
"26","206",51580523,"answer-51583718",1,3
"27","207",51580523,"answer-51583718",3,2.5
"28","208",51682923,"answer-51682974",1,1.5
"29","209",51682923,"answer-51683218",5,4
"30","210",51682923,"answer-51683218",1,3
"31","211",50460523,"answer-50460596",2,4
"32","212",50460523,"answer-50460873",1,3
"33","213",50460523,"answer-50460873",3,2
"34","214",50460523,"answer-50460873",1,2
"35","215",50619917,"answer-50620118",2,3
"36","217",50605220,"answer-50605397",1,4
"37","218",50605220,"answer-50606096",2,3
"38","219",50605220,"answer-50606096",3,3
"39","220",49638703,"answer-49666744",2,2
"40","221",49638703,"answer-49666744",1,4
"41","222",49638703,"answer-49667023",3,4
"42","223",51628014,"answer-51628170",1,4
"43","224",51628014,"answer-51628170",2,2
"44","225",51628014,"answer-51628324",1,4
"45","227",50254393,"answer-50261031",1,3.5
"46","228",50254393,"answer-50261031",2,1
"47","229",50254393,"answer-50290238",3,4
"48","230",50254393,"answer-50290238",3,4.5
"49","231",49868076,"answer-49875401",4,4
"50","232",49868076,"answer-49875401",2,4
"51","233",49868076,"answer-49904853",1,4
"52","234",50485037,"answer-50485134",8,3.5
"53","235",50485037,"answer-50485160",1,5
"54","236",50485037,"answer-50485160",1,4.5
"55","237",50485037,"answer-50485160",3,4
"56","238",49638703,"answer-49667023",6,4
"57","239",49742914,"answer-49742993",6,4
"58","240",49868076,"answer-49904853",6,4
"59","241",49996456,"answer-51494250",8,3
"60","242",50014635,"answer-50014701",6,2
"61","243",50088757,"answer-50088868",6,4
"62","245",50227069,"answer-50227170",8,5
"63","246",50254393,"answer-50261031",6,3.5
"64","247",50460523,"answer-50460873",6,3
"65","249",50522602,"answer-50523464",6,3
"66","250",50605220,"answer-50605288",6,4
"67","251",50619917,"answer-50620194",10,4.5
"68","252",50703187,"answer-50703313",9,4
"69","253",50957609,"answer-50958104",6,4
"70","254",51580523,"answer-51580716",6,4
"71","255",51628014,"answer-51628324",9,4
"72","257",51682923,"answer-51683003",6,4
"73","258",51674222,"answer-51675877",7,4.5
"74","262",51783807,"answer-51784010",4,5
"75","263",51783807,"answer-51784010",1,4
"76","264",51783807,"answer-51784010",8,4.5
