SentenceID,Technique,Count
173,1,9
178,1,9
181,1,8
189,1,9
193,1,7
198,1,6
200,1,6
202,1,5
204,1,8
206,1,8
208,1,4
210,1,4
212,1,3
214,1,3
217,1,5
221,1,7
223,1,7
225,1,7
227,1,4
233,1,10
235,1,6
236,1,6
263,1,6
251,1,4
251,3,4
251,6,4
179,2,9
179,1,9
184,2,8
184,1,8
191,2,9
191,1,9
192,2,7
192,1,7
195,2,9
195,1,9
197,2,6
197,1,6
203,2,5
203,1,5
205,2,8
205,1,8
211,2,3
211,1,3
215,2,4
215,1,4
218,2,5
218,1,5
220,2,7
220,1,7
224,2,7
224,1,7
228,2,4
228,1,4
232,2,10
232,1,10
175,3,9
180,3,9
183,3,8
194,3,7
199,3,6
201,3,5
207,3,8
213,3,3
219,3,5
222,3,7
229,3,4
230,3,4
237,3,6
177,1,7
177,3,7
196,1,9
196,3,9
231,1,10
231,3,10
262,1,6
262,3,6
209,1,4
209,2,4
209,3,4
238,6,7
239,6,6
240,6,10
242,6,7
243,6,5
246,6,4
247,6,3
249,6,9
250,6,5
253,6,9
254,6,8
257,6,4
258,1,8
258,6,8
234,1,6
234,2,6
234,6,6
241,1,9
241,2,9
241,6,9
245,1,7
245,2,7
245,6,7
264,1,6
264,2,6
264,6,6
252,3,9
252,6,9
255,3,7
255,6,7
